Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,V,epsilon,k,nut,p
internalMesh,36,-0.019809,0.000844,0.000000,0.019827,9.998140,0.041188,0.000000,9.998225,0.000000,25.167700,0.395004,0.000558,-3.932580
internalMesh,37,-0.018257,0.000844,0.000000,0.018277,10.022200,0.026897,0.000000,10.022236,0.000000,35.843800,0.409931,0.000422,-3.800250
internalMesh,38,-0.016768,0.000844,0.000000,0.016789,10.052300,0.009946,0.000000,10.052305,0.000000,42.833500,0.408986,0.000351,-3.966110
internalMesh,39,-0.015338,0.000844,0.000000,0.015362,10.069800,0.019840,0.000000,10.069819,0.000000,47.957001,0.403831,0.000306,-4.100750
internalMesh,40,-0.013966,0.000844,0.000000,0.013991,10.076900,0.036445,0.000000,10.076965,0.000000,52.669102,0.400058,0.000273,-4.209070
internalMesh,41,-0.012648,0.000844,0.000000,0.012676,10.077300,0.046375,0.000000,10.077407,0.000000,57.594898,0.399034,0.000249,-4.328930
internalMesh,42,-0.011383,0.000844,0.000000,0.011414,10.070900,0.050446,0.000000,10.071026,0.000000,63.019501,0.400825,0.000229,-4.431540
internalMesh,43,-0.010168,0.000844,0.000000,0.010203,10.058600,0.051641,0.000000,10.058733,0.000000,69.070198,0.405128,0.000214,-4.506260
internalMesh,44,-0.009002,0.000844,0.000000,0.009042,10.041800,0.051560,0.000000,10.041932,0.000000,75.766998,0.411509,0.000201,-4.563320
internalMesh,45,-0.007883,0.000844,0.000000,0.007928,10.021800,0.050921,0.000000,10.021930,0.000000,83.059097,0.419505,0.000191,-4.610330
internalMesh,46,-0.006808,0.000844,0.000000,0.006860,9.999470,0.050120,0.000000,9.999596,0.000000,90.855499,0.428679,0.000182,-4.648360
internalMesh,47,-0.005776,0.000844,0.000000,0.005838,9.975320,0.049416,0.000000,9.975442,0.000000,99.047401,0.438653,0.000175,-4.676400
internalMesh,48,-0.004786,0.000844,0.000000,0.004859,9.949760,0.048983,0.000000,9.949881,0.000000,107.525002,0.449115,0.000169,-4.693600
internalMesh,49,-0.003835,0.000844,0.000000,0.003926,9.923050,0.049012,0.000000,9.923171,0.000000,116.188004,0.459827,0.000164,-4.698710
internalMesh,50,-0.002922,0.000844,0.000000,0.003041,9.895180,0.049668,0.000000,9.895305,0.000000,124.962997,0.470628,0.000160,-4.689910
internalMesh,51,-0.002045,0.000844,0.000000,0.002212,9.866310,0.051668,0.000000,9.866446,0.000000,133.811996,0.481419,0.000156,-4.663180
internalMesh,52,-0.001204,0.000844,0.000000,0.001470,9.836040,0.055058,0.000000,9.836194,0.000000,142.796005,0.492309,0.000153,-4.619260
internalMesh,53,-0.000396,0.000844,0.000000,0.000932,9.806050,0.064188,0.000000,9.806260,0.000000,151.996002,0.503124,0.000150,-4.555950
internalMesh,54,-0.019809,0.001223,0.000000,0.019846,9.996750,0.005447,0.000000,9.996752,0.000000,17.493099,0.379552,0.000741,-3.789040
internalMesh,55,-0.018257,0.001223,0.000000,0.018298,10.008200,0.025536,0.000000,10.008232,0.000000,21.211700,0.384553,0.000627,-3.711360
internalMesh,56,-0.016768,0.001223,0.000000,0.016813,10.033900,0.040521,0.000000,10.033982,0.000000,24.559900,0.386029,0.000546,-3.996000
internalMesh,57,-0.015338,0.001223,0.000000,0.015387,10.052300,0.051621,0.000000,10.052433,0.000000,27.395100,0.385018,0.000487,-4.174390
internalMesh,58,-0.013966,0.001223,0.000000,0.014019,10.063500,0.057939,0.000000,10.063667,0.000000,29.901400,0.383067,0.000442,-4.262790
internalMesh,59,-0.012648,0.001223,0.000000,0.012707,10.072000,0.059643,0.000000,10.072176,0.000000,32.246300,0.381123,0.000405,-4.354780
internalMesh,60,-0.011383,0.001223,0.000000,0.011448,10.077700,0.059198,0.000000,10.077873,0.000000,34.549400,0.379639,0.000375,-4.443840
internalMesh,61,-0.010168,0.001223,0.000000,0.010242,10.080000,0.058293,0.000000,10.080169,0.000000,36.893902,0.378812,0.000350,-4.513620
internalMesh,62,-0.009002,0.001223,0.000000,0.009085,10.079500,0.057395,0.000000,10.079663,0.000000,39.330898,0.378698,0.000328,-4.568410
internalMesh,63,-0.007883,0.001223,0.000000,0.007977,10.076800,0.056575,0.000000,10.076960,0.000000,41.885601,0.379269,0.000309,-4.614260
internalMesh,64,-0.006808,0.001223,0.000000,0.006917,10.072400,0.055902,0.000000,10.072556,0.000000,44.565102,0.380460,0.000292,-4.652000
internalMesh,65,-0.005776,0.001223,0.000000,0.005904,10.066200,0.055483,0.000000,10.066353,0.000000,47.365101,0.382187,0.000278,-4.680510
internalMesh,66,-0.004786,0.001223,0.000000,0.004939,10.058600,0.055446,0.000000,10.058753,0.000000,50.275700,0.384370,0.000264,-4.698960
internalMesh,67,-0.003835,0.001223,0.000000,0.004025,10.049600,0.055980,0.000000,10.049755,0.000000,53.285301,0.386933,0.000253,-4.706400
internalMesh,68,-0.002922,0.001223,0.000000,0.003167,10.039200,0.057306,0.000000,10.039364,0.000000,56.385700,0.389821,0.000243,-4.701600
internalMesh,69,-0.002045,0.001223,0.000000,0.002383,10.027500,0.060016,0.000000,10.027679,0.000000,59.579800,0.393001,0.000233,-4.682450
internalMesh,70,-0.001204,0.001223,0.000000,0.001716,10.014600,0.064417,0.000000,10.014807,0.000000,62.883999,0.396479,0.000225,-4.650530
internalMesh,71,-0.000396,0.001223,0.000000,0.001286,10.000800,0.072312,0.000000,10.001061,0.000000,66.320198,0.400215,0.000217,-4.607760
internalMesh,72,-0.019809,0.001630,0.000000,0.019876,9.999280,0.006950,0.000000,9.999283,0.000000,15.480200,0.374949,0.000817,-3.802730
internalMesh,73,-0.018257,0.001630,0.000000,0.018330,10.008100,0.034400,0.000000,10.008159,0.000000,16.726700,0.375805,0.000760,-3.822160
internalMesh,74,-0.016768,0.001630,0.000000,0.016847,10.027000,0.046713,0.000000,10.027109,0.000000,18.137199,0.376052,0.000702,-4.062840
internalMesh,75,-0.015338,0.001630,0.000000,0.015425,10.041400,0.051150,0.000000,10.041531,0.000000,19.515301,0.375440,0.000650,-4.209400
