"Cell Type","U:0","U:1","U:2","V","epsilon","k","nut","p"
12,10.0003,0.0088914698,0,7.64941e-10,14.7446,0.37301001,0.00084928097,-3.9263699
12,10.0067,0.027732201,0,7.34379e-10,14.7369,0.371286,0.00084188598,-3.9649799
12,10.0188,0.037358999,0,7.0503797e-10,14.8291,0.36978799,0.00082991697,-4.1004901
12,10.03,0.042062301,0,6.7686901e-10,14.9945,0.36837199,0.00081448501,-4.2212701
12,10.0391,0.046061601,0,6.4982603e-10,15.2078,0.36695901,0.00079691201,-4.3007898
12,10.0477,0.0489586,0,6.2386302e-10,15.4493,0.365522,0.00077832601,-4.3768101
12,10.0559,0.050459899,0,5.9893801e-10,15.7049,0.36406001,0.000759541,-4.45367
12,10.0631,0.051209301,0,5.7500799e-10,15.9664,0.36258501,0.00074106298,-4.5201502
12,10.0693,0.051724099,0,5.5203497e-10,16.228901,0.36111501,0.000723176,-4.5750899
12,10.0747,0.052209798,0,5.2997901e-10,16.490299,0.359669,0.00070602598,-4.6220999
12,10.0793,0.0527975,0,5.08805e-10,16.749399,0.35826099,0.00068967103,-4.66256
12,10.0833,0.053643499,0,4.8847598e-10,17.0061,0.35690099,0.00067411503,-4.6961899
12,10.0866,0.054924101,0,4.6895998e-10,17.260599,0.355598,0.00065933401,-4.7227502
12,10.0893,0.0568421,0,4.50224e-10,17.5135,0.354357,0.00064528303,-4.7424102
12,10.0914,0.059634201,0,4.32236e-10,17.7658,0.353181,0.00063190801,-4.7555799
12,10.0931,0.063597299,0,4.1496701e-10,18.0186,0.35207501,0.00061914301,-4.7631102
12,10.0945,0.069005601,0,3.9838699e-10,18.2736,0.35104299,0.00060692802,-4.7670698
12,10.0961,0.076203898,0,3.8247e-10,18.5277,0.35009301,0.00059537101,-4.7707601
12,10.0003,0.0079278396,0,8.1984303e-10,14.7011,0.37286401,0.00085112499,-3.9798601
12,10.0057,0.0239488,0,7.8708801e-10,14.5819,0.37083501,0.00084876799,-4.0141001
12,10.0159,0.033722401,0,7.5564099e-10,14.5101,0.36899599,0.00084453099,-4.1236901
12,10.0262,0.038984001,0,7.2545098e-10,14.4828,0.36729401,0.00083833397,-4.2349501
12,10.0348,0.042933401,0,6.96466e-10,14.4933,0.36568499,0.00083040498,-4.3148499
12,10.0428,0.045799602,0,6.6863998e-10,14.5333,0.36413801,0.00082112697,-4.38727
12,10.0506,0.047462098,0,6.4192601e-10,14.5949,0.36263201,0.00081090903,-4.4598098
12,10.0576,0.048421901,0,6.1627897e-10,14.6718,0.36115801,0.00080011401,-4.5247698
12,10.0639,0.049137801,0,5.91656e-10,14.7593,0.35971501,0.00078902801,-4.5798998
12,10.0695,0.049821202,0,5.6801802e-10,14.854,0.35830399,0.000777865,-4.6277099
12,10.0745,0.050609998,0,5.4532401e-10,14.9534,0.35692999,0.00076677598,-4.66962
12,10.0791,0.051660199,0,5.2353599e-10,15.0561,0.35559601,0.00075586501,-4.7056499
12,10.0831,0.053144999,0,5.02619e-10,15.161,0.354305,0.00074519397,-4.7358298
12,10.0866,0.0552544,0,4.8253801e-10,15.2676,0.35306001,0.00073480199,-4.7606001
12,10.0898,0.058199,0,4.6325899e-10,15.3756,0.35186401,0.00072470203,-4.7807598
12,10.0928,0.062217101,0,4.4474999e-10,15.4854,0.35071999,0.00071489299,-4.7975898
12,10.0958,0.067523599,0,4.2698101e-10,15.5971,0.34963101,0.00070537202,-4.8132701
12,10.0992,0.074373104,0,4.0992201e-10,15.7087,0.348611,0.000696278,-4.8309102
12,10.0004,0.00706197,0,8.7868601e-10,14.6901,0.37281999,0.00085156102,-4.0302501
12,10.0048,0.020996699,0,8.4357998e-10,14.5371,0.37068,0.00085066998,-4.0615602
12,10.0135,0.0304219,0,8.09876e-10,14.4066,0.368689,0.00084918301,-4.1516199
12,10.0228,0.0358321,0,7.7751899e-10,14.3,0.366831,0.00084691402,-4.25109
12,10.0309,0.039670199,0,7.4645401e-10,14.2167,0.36508599,0.000843791,-4.3288298
12,10.0385,0.042511102,0,7.1663098e-10,14.1547,0.363435,0.00083983899,-4.3982201
12,10.0459,0.044323198,0,6.8799899e-10,14.1111,0.361862,0.000835151,-4.4671001
12,10.0528,0.045464501,0,6.6051098e-10,14.083,0.36035299,0.00082985498,-4.5304799
12,10.059,0.046337102,0,6.3412198e-10,14.0675,0.35890001,0.00082408398,-4.5857601
12,10.0647,0.047165599,0,6.0878602e-10,14.0623,0.35749799,0.00081796502,-4.63448
12,10.0699,0.048096199,0,5.8446298e-10,14.0653,0.35614499,0.00081160798,-4.67804
12,10.0748,0.049281102,0,5.6111199e-10,14.075,0.354837,0.00080510502,-4.7167501
12,10.0793,0.050884601,0,5.3869398e-10,14.0902,0.353576,0.00079852901,-4.7508602
12,10.0835,0.053078901,0,5.1717097e-10,14.11,0.35236001,0.00079193502,-4.7810402
12,10.0875,0.0560445,0,4.96509e-10,14.1337,0.35119,0.00078536302,-4.8083601
12,10.0915,0.059968699,0,4.7667098e-10,14.161,0.35006601,0.00077884202,-4.8343501
12,10.0957,0.065009803,0,4.5762699e-10,14.1917,0.348993,0.00077239698,-4.8612599
12,10.1005,0.071361899,0,4.3934301e-10,14.2245,0.34798199,0.00076616002,-4.8919201
12,10.0004,0.0062910402,0,9.4175301e-10,14.6874,0.37280601,0.00085165299,-4.0783701
12,10.0042,0.018432301,0,9.04126e-10,14.5251,0.370628,0.00085113401,-4.1066799
12,10.0115,0.027205801,0,8.68004e-10,14.376,0.368577,0.00085047103,-4.18115
12,10.0198,0.032598499,0,8.3332402e-10,14.2409,0.36664599,0.00084957102,-4.2688599
12,10.0274,0.0363627,0,8.0002999e-10,14.12,0.36482599,0.000848361,-4.3432999
12,10.0347,0.039173599,0,7.68066e-10,14.013,0.363107,0.00084679702,-4.4101
12,10.0417,0.041081902,0,7.3737899e-10,13.9193,0.36147699,0.00084486598,-4.47577
12,10.0484,0.042353399,0,7.07918e-10,13.8376,0.359927,0.000842579,-4.5374899
12,10.0546,0.043337598,0,6.7963501e-10,13.7669,0.35844901,0.000839966,-4.5927801
12,10.0603,0.044263002,0,6.5248101e-10,13.7058,0.35703599,0.00083706703,-4.6424799
12,10.0657,0.0452797,0,6.2641198e-10,13.6533,0.35568199,0.00083392602,-4.68784
12,10.0708,0.0465318,0,6.01385e-10,13.6083,0.35438401,0.00083058898,-4.7294002
12,10.0757,0.048169699,0,5.7735799e-10,13.5699,0.35313901,0.000827096,-4.7676001
12,10.0804,0.0503443,0,5.5429e-10,13.5374,0.351944,0.00082348398,-4.8032799
12,10.0851,0.053204499,0,5.3214499e-10,13.51,0.35079801,0.00081978599,-4.8376899
12,10.09,0.056892399,0,5.10884e-10,13.4875,0.3497,0.00081602699,-4.8724699
12,10.0952,0.061516099,0,4.90472e-10,13.4693,0.34865299,0.00081223698,-4.9098401
12,10.101,0.067221597,0,4.70876e-10,13.4551,0.34766799,0.00080851,-4.9523401
12,10.0003,0.0055650198,0,1.00935e-09,14.6868,0.37280101,0.00085166801,-4.1240201
12,10.0036,0.016127801,0,9.6901898e-10,14.5221,0.37060899,0.00085123099,-4.1490698
12,10.0098,0.0241403,0,9.30303e-10,14.3677,0.368536,0.000850779,-4.2112699
12,10.0172,0.0293938,0,8.9313401e-10,14.2235,0.36657599,0.00085027999,-4.2883501
12,10.0243,0.0330627,0,8.57451e-10,14.0895,0.36471999,0.00084970199,-4.3586998
12,10.0312,0.035799399,0,8.2319301e-10,13.9654,0.362964,0.00084901502,-4.4229398
12,10.0379,0.0377344,0,7.9030399e-10,13.851,0.36129901,0.00084819598,-4.4857402
12,10.0444,0.039079901,0,7.5872802e-10,13.7457,0.35971901,0.00084723299,-4.5457802
12,10.0505,0.040130299,0,7.2841499e-10,13.6491,0.358217,0.00084612001,-4.6010098
12,10.0563,0.041104399,0,6.99312e-10,13.5605,0.356787,0.00084485899,-4.65171
12,10.0618,0.042150602,0,6.7137201e-10,13.4794,0.355423,0.00084345799,-4.6989498
12,10.0672,0.043401401,0,6.4454903e-10,13.4052,0.35412201,0.000841929,-4.7434101
12,10.0724,0.0449895,0,6.1879701e-10,13.3373,0.35288,0.00084028498,-4.7857099
12,10.0776,0.0470424,0,5.9407401e-10,13.2753,0.351693,0.00083854201,-4.8267899
12,10.0829,0.049676899,0,5.70339e-10,13.2187,0.350559,0.00083671301,-4.86798
12,10.0885,0.052995499,0,5.47552e-10,13.1671,0.34947801,0.00083481398,-4.9109302
12,10.0945,0.057062302,0,5.25675e-10,13.1204,0.34844899,0.00083286298,-4.9577298
12,10.1012,0.061983299,0,5.0467303e-10,13.0784,0.34748399,0.00083091803,-5.0106301
12,10.0003,0.0049229399,0,9.0868002e-10,14.6866,0.37279901,0.00085166999,-4.1634498
12,10.0031,0.0141977,0,8.72376e-10,14.5213,0.370603,0.00085124501,-4.1856298
12,10.0085,0.0214798,0,8.37521e-10,14.3656,0.36852199,0.000850835,-4.2390199
12,10.0151,0.0264972,0,8.0405999e-10,14.219,0.36655,0.00085042999,-4.3075299
12,10.0218,0.030029301,0,7.7193502e-10,14.0812,0.36468101,0.00085001602,-4.3736701
12,10.0284,0.032656901,0,7.4109302e-10,13.9519,0.36290801,0.000849579,-4.4354601
12,10.0348,0.034561198,0,7.1148398e-10,13.8306,0.36122701,0.00084910798,-4.4959302
12,10.0411,0.0359229,0,6.83058e-10,13.717,0.359631,0.00084859098,-4.5545101
12,10.0472,0.0369884,0,6.55768e-10,13.6106,0.358114,0.00084802002,-4.6096101
12,10.053,0.037959099,0,6.2956801e-10,13.5113,0.35667101,0.00084738998,-4.6612101
12,10.0586,0.038976502,0,6.0441402e-10,13.4184,0.355299,0.00084669801,-4.7101798
12,10.0642,0.040160399,0,5.80266e-10,13.3317,0.353991,0.00084594602,-4.7572699
12,10.0697,0.041624799,0,5.5708199e-10,13.2508,0.35274601,0.00084513403,-4.8031998
12,10.0752,0.043474,0,5.3482502e-10,13.1753,0.35155901,0.00084426801,-4.8489599
12,10.081,0.045797098,0,5.13457e-10,13.1049,0.350429,0.000843352,-4.8958602
12,10.0871,0.048663501,0,4.9294302e-10,13.0394,0.349354,0.00084239303,-4.9455199
12,10.0938,0.052103698,0,4.73248e-10,12.9786,0.348333,0.00084140099,-4.9998498
12,10.1012,0.0561953,0,4.5434001e-10,12.9228,0.34737799,0.000840411,-5.06077
12,10.0003,0.0043226001,0,1.1076901e-09,14.6865,0.37279701,0.00085166801,-4.20016
12,10.0027,0.0124444,0,1.06344e-09,14.521,0.370599,0.00085124501,-4.2198901
12,10.0074,0.018975399,0,1.02095e-09,14.3649,0.368514,0.00085084297,-4.26613
12,10.0134,0.023660701,0,9.8015995e-10,14.2175,0.366537,0.00085046003,-4.3271699
12,10.0196,0.0270082,0,9.4099895e-10,14.0785,0.36466101,0.00085009,-4.38903
