# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.514773e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000173339   	4.826899e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000233625   	1.126320e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000300518   	4.266670e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000373999   	3.660378e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000451628   	3.364673e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000533941   	3.464130e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00061846    	3.263912e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000706138   	3.105854e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000796369   	3.019965e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000889335   	2.577124e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000985237   	2.120098e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0010843     	1.843327e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00118562    	1.296901e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00129055    	1.015402e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00139807    	9.012024e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00150979    	5.049492e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00162452    	7.910134e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00174084    	4.775215e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00186054    	7.063743e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00198203    	4.841683e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00210731    	6.263652e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00223461    	4.948888e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00236403    	5.273949e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
