# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.540370e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000183629   	-5.833770e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000244981   	7.890667e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00031567    	-1.581875e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000396373   	9.268966e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000486973   	-5.421189e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00058711    	-1.989822e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000691698   	-3.155873e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00079869    	-1.992259e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000908229   	-1.958269e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0010191     	-1.482207e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00113424    	-1.304368e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0012509     	-1.092107e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00137075    	-9.574545e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00149581    	-8.146510e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00162274    	-6.701706e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00175363    	-5.011848e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00188664    	-3.576359e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00202186    	-1.817117e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00215942    	-4.100986e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00229943    	1.223313e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00244203    	2.431164e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
